2026-03-18 15:09:33,787 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:09:37,807 | INFO | auto_paper_download.clients | Springer DOI 10.1007/s10661-018-6909-7 跳过：需订阅访问，手动登录后再获取 PDF。
2026-03-18 15:09:37,820 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:09:37,820 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Elsevier=1)
2026-03-18 15:09:37,820 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1016/j.scitotenv.2010.06.053
2026-03-18 15:09:37,827 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:09:51,587 | INFO | auto_paper_download.supplements | No supplementary candidates detected for DOI 10.1016/j.scitotenv.2010.06.053
2026-03-18 15:09:53,099 | INFO | auto_paper_download.downloader | Preparing downloads for 1 DOI(s).
2026-03-18 15:09:53,100 | INFO | auto_paper_download.downloader | Download plan: 1 total DOIs (Crossref=1)
2026-03-18 15:09:53,100 | INFO | auto_paper_download.downloader | Example DOIs queued: 10.1039/c0em00795a
2026-03-18 15:09:53,103 | INFO | auto_paper_download.downloader | Beginning downloads; files will be stored in /mnt/d/paper_data/pdf/Water/harvester_downloads
2026-03-18 15:10:11,534 | WARNING | auto_paper_download.clients | Skipping 10.1039/c0em00795a (Crossref)：No PDF link found via Crossref for DOI 10.1039/c0em00795a
